"Y.temp_min" "Y.temp_max" "Y.temp_mean" "Y.num_cold_days" "Y.num_hot_days" "date"
-17.8 4 -5.53709677419355 28 0 1876-01-01
-17.5 14 -0.970689655172414 15 0 1876-02-01
-6.4 16.7 4.02741935483871 4 0 1876-03-01
-1 23.6 10.18 0 0 1876-04-01
-0.5 22.2 8.99354838709677 0 0 1876-05-01
6.4 26.8 16.9816666666667 0 0 1876-06-01
9.2 27 17.6064516129032 0 0 1876-07-01
8.2 28.2 18.1129032258065 0 0 1876-08-01
1.6 23.8 13.19 0 0 1876-09-01
1.3 20.2 10.2741935483871 0 0 1876-10-01
-14.5 6 -0.553333333333333 17 0 1876-11-01
-18 10.4 0.482258064516129 11 0 1876-12-01
-6.8 8.7 0.125806451612903 14 0 1877-01-01
-9.2 11 2.2625 4 0 1877-02-01
-15 18.7 1.93225806451613 11 0 1877-03-01
-2.5 20.2 6.39833333333333 0 0 1877-04-01
-0.5 22 10.0338709677419 0 0 1877-05-01
6 28 17.5 0 0 1877-06-01
10 29 17.1548387096774 0 0 1877-07-01
7 29.7 18.6693548387097 0 0 1877-08-01
-1.6 22.5 10.9566666666667 0 0 1877-09-01
-4 15.5 6.3241935483871 0 0 1877-10-01
-2 10.3 3.60166666666667 0 0 1877-11-01
-11.8 5.5 -0.524193548387097 15 0 1877-12-01
-23.2 7.6 -3.37741935483871 22 0 1878-01-01
-11.8 9.2 0.601785714285714 14 0 1878-02-01
-7.2 15.9 3.05645161290323 5 0 1878-03-01
-0.3 19.7 8.90833333333333 0 0 1878-04-01
3.5 26 13.3822580645161 0 0 1878-05-01
6 26 16.4716666666667 0 0 1878-06-01
9.4 28 17.0532258064516 0 0 1878-07-01
10.2 25.2 17.5854838709677 0 0 1878-08-01
5 25 14.725 0 0 1878-09-01
0.3 16.3 9.44354838709677 0 0 1878-10-01
-5.8 15.6 1.93 5 0 1878-11-01
-20.4 8.8 -4.1241935483871 25 0 1878-12-01
-13.9 11.7 -3.09516129032258 25 0 1879-01-01
-5.2 10.6 1.04464285714286 10 0 1879-02-01
-8.9 16.6 2.54838709677419 9 0 1879-03-01
-2.2 20.3 7.41 0 0 1879-04-01
0.6 23.5 10.5532258064516 0 0 1879-05-01
7.6 30 17.3316666666667 0 0 1879-06-01
7.7 26.8 15.8370967741935 0 0 1879-07-01
8.6 29 18.7387096774194 0 0 1879-08-01
4.9 24.9 14.495 0 0 1879-09-01
-1.3 16.4 7.55161290322581 0 0 1879-10-01
-14.8 10 -0.596666666666667 15 0 1879-11-01
-22.5 6.6 -10.4758064516129 29 0 1879-12-01
-18.9 7 -4.74516129032258 27 0 1880-01-01
-17.3 10 -2.2551724137931 14 0 1880-02-01
-7.6 16.6 4.25645161290323 4 0 1880-03-01
0.4 22.4 10.52 0 0 1880-04-01
2.2 27.8 12.0467741935484 0 0 1880-05-01
6.7 26.7 16.0666666666667 0 0 1880-06-01
9.3 30.3 19.3887096774194 0 1 1880-07-01
9.3 24.9 16.6145161290323 0 0 1880-08-01
4.1 26.8 14.7433333333333 0 0 1880-09-01
-2.8 20 8.91774193548387 1 0 1880-10-01
-1.5 14.3 4.34833333333333 0 0 1880-11-01
-5.6 10.1 3.38709677419355 3 0 1880-12-01
-19.4 3.6 -6.35 29 0 1881-01-01
-14.8 7.6 -1.12321428571429 21 0 1881-02-01
